"timestamp";"correlationId";"message"
"30.05.2020 13:46:34,625";"A96C07D81DAA2A529B9C6E45C933D27B";"Processing OtpRequiredEvent: BaseEvent{data=******, approach=EMBEDDED, step=SEND_OTP}"
"30.05.2020 13:46:41,518";"A96C07D81DAA2A529B9C6E45C933D27B";"--> PUT https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents/******/authorisations/******?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: A96C07D81DAA2A529B9C6E45C933D27B\\n	--> Accept: application/json\\n	--> X-Request-ID: 109bb944-c7c7-476a-8d6a-7bea0a723bd8\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""scaAuthenticationData"":""******""}\\n	-->"
"30.05.2020 13:46:41,757";"A96C07D81DAA2A529B9C6E45C933D27B";"<-- HTTP/1.1 200 \\n	<-- aspsp-sca-approach: EMBEDDED\\n	<-- x-request-id: 109bb944-c7c7-476a-8d6a-7bea0a723bd8\\n	<-- date: Sat, 30 May 2020 11:46:41 GMT\\n	<-- content-length: 290\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- content-type: application/json\\n	<--\\n	<-- Response body [application/json]: {""scaStatus"":""******""}\\n	<--"
"30.05.2020 13:46:42,009";"A96C07D81DAA2A529B9C6E45C933D27B";"get account list"
"30.05.2020 13:46:42,250";"A96C07D81DAA2A529B9C6E45C933D27B";"<-- HTTP/1.1 200 \\n	<-- x-request-id: 871641d4-dda6-4bd3-910b-527e384abe53\\n	<-- date: Sat, 30 May 2020 11:46:41 GMT\\n	<-- content-length: 516\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- content-type: application/json\\n	<--\\n	<-- Response body [application/json]: {""accounts"":[{""resourceId"":""******"",""iban"":""******"",""currency"":""******"",""name"":""******"",""displayName"":""******"",""cashAccountType"":""******"",""status"":""******"",""linkedAccounts"":""******"",""ownerName"":""******""}]}\\n	<--"
"30.05.2020 13:46:42,256";"A96C07D81DAA2A529B9C6E45C933D27B";"get account list response status - 200"
"30.05.2020 13:46:42,257";"A96C07D81DAA2A529B9C6E45C933D27B";"get transaction list"
"30.05.2020 13:46:42,592";"A96C07D81DAA2A529B9C6E45C933D27B";"<-- HTTP/1.1 200 \\n	<-- x-request-id: 020e5fd4-c707-4ae8-9414-c5e9d2aa187c\\n	<-- date: Sat, 30 May 2020 11:46:41 GMT\\n	<-- content-length: 4900\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- content-type: application/json\\n	<--\\n	<-- Response body [application/json]: {""account"":{""iban"":""******"",""currency"":""******""},""transactions"":{""booked"":[{""transactionId"":""******"",""endToEndId"":""******"",""bookingDate"":""******"",""valueDate"":""******"",""transactionAmount"":{""currency"":""******"",""amount"":""******""},""creditorName"":""******"",""creditorAccount"":{""iban"":""******"",""currency"":""******""},""debtorName"":""******"",""debtorAccount"":{""iban"":""******"",""currency"":""******""},""remittanceInformationUnstructured"":""******"",""remittanceInformationUnstructuredArray"":[""******""],""remittanceInformationStructuredArray"":[{""reference"":""******"",""referenceType"":""******"",""referenceIssuer"":""******""}],""additionalInformation"":""******"",""bankTransactionCode"":""******"",""proprietaryBankTransactionCode"":""******"",""balanceAfterTransaction"":{""balanceAmount"":{""currency"":""******"",""amount"":""******""},""balanceType"":""******"",""lastChangeDateTime"":""******"",""referenceDate"":""******""}},{""transactionId"":""******"",""bookingDate"":""******"",""valueDate"":""******"",""transactionAmount"":{""currency"":""******"",""amount"":""******""},""creditorName"":""******"",""creditorAccount"":{""iban"":""******"",""currency"":""******""},""debtorAccount"":{""iban"":""******"",""currency"":""******""},""remittanceInformationUnstructuredArray"":[""******""],""remittanceInformationStructuredArray"":[{""reference"":""******"",""referenceType"":""******"",""referenceIssuer"":""******""}],""additionalInformation"":""******"",""bankTransactionCode"":""******"",""proprietaryBankTransactionCode"":""******"",""balanceAfterTransaction"":{""balanceAmount"":{""currency"":""******"",""amount"":""******""},""balanceType"":""******"",""lastChangeDateTime"":""******"",""referenceDate"":""******""}},{""transactionId"":""******"",""endToEndId"":""******"",""bookingDate"":""******"",""valueDate"":""******"",""transactionAmount"":{""currency"":""******"",""amount"":""******""},""creditorName"":""******"",""creditorAccount"":{""iban"":""******"",""currency"":""******""},""debtorName"":""******"",""debtorAccount"":{""iban"":""******"",""currency"":""******""},""remittanceInformationUnstructured"":""******"",""remittanceInformationUnstructuredArray"":[""******""],""remittanceInformationStructuredArray"":[{""reference"":""******"",""referenceType"":""******"",""referenceIssuer"":""******""}],""additionalInformation"":""******"",""bankTransactionCode"":""******"",""proprietaryBankTransactionCode"":""******"",""balanceAfterTransaction"":{""balanceAmount"":{""currency"":""******"",""amount"":""******""},""balanceType"":""******"",""lastChangeDateTime"":""******"",""referenceDate"":""******""}},{""transactionId"":""******"",""endToEndId"":""******"",""bookingDate"":""******"",""valueDate"":""******"",""transactionAmount"":{""currency"":""******"",""amount"":""******""},""creditorName"":""******"",""creditorAccount"":{""iban"":""******"",""currency"":""******""},""debtorName"":""******"",""debtorAccount"":{""iban"":""******"",""currency"":""******""},""remittanceInformationUnstructured"":""******"",""remittanceInformationUnstructuredArray"":[""******""],""remittanceInformationStructuredArray"":[{""reference"":""******"",""referenceType"":""******"",""referenceIssuer"":""******""}],""additionalInformation"":""******"",""bankTransactionCode"":""******"",""proprietaryBankTransactionCode"":""******"",""balanceAfterTransaction"":{""balanceAmount"":{""currency"":""******"",""amount"":""******""},""balanceType"":""******"",""lastChangeDateTime"":""******"",""referenceDate"":""******""}}],""_links"":{""account"":{""href"":""******""},""balances"":{""href"":""******""}}},""balances"":[{""balanceAmount"":{""currency"":""******"",""amount"":""******""},""balanceType"":""******"",""lastChangeDateTime"":""******"",""referenceDate"":""******""},{""balanceAmount"":{""currency"":""******"",""amount"":""******""},""balanceType"":""******"",""lastChangeDateTime"":""******"",""referenceDate"":""******""}],""_links"":{""balances"":{""href"":""******""},""download"":{""href"":""******""}}}\\n	<--"
"30.05.2020 13:46:42,598";"A96C07D81DAA2A529B9C6E45C933D27B";"get transaction list response status - 200"
"30.05.2020 13:46:42,599";"A96C07D81DAA2A529B9C6E45C933D27B";"Processing TransactionsReceivedEvent: BaseEvent{data=******, approach=UNKNOWN, step=GET_TRANSACTIONS}"
"30.05.2020 13:46:42,739";"A96C07D81DAA2A529B9C6E45C933D27B";"<-- HTTP/1.1 200 \\n	<-- x-request-id: 3881907c-2f9d-46ad-9c72-ad97ba323f8f\\n	<-- date: Sat, 30 May 2020 11:46:41 GMT\\n	<-- content-length: 85\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- content-type: application/json\\n	<--\\n	<-- Response body [application/json]: {""consentStatus"":""******"",""psuMessage"":""******""}\\n	<--"
"30.05.2020 13:46:42,744";"A96C07D81DAA2A529B9C6E45C933D27B";"Consent status is valid"
"30.05.2020 13:46:42,887";"A96C07D81DAA2A529B9C6E45C933D27B";"<-- HTTP/1.1 200 \\n	<-- x-request-id: a894113e-7e70-44af-bdc2-cf4fac021541\\n	<-- date: Sat, 30 May 2020 11:46:42 GMT\\n	<-- content-length: 55\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- content-type: application/json\\n	<--\\n	<-- Response body [application/json]: {""scaStatus"":""******""}\\n	<--"
"30.05.2020 13:46:42,892";"A96C07D81DAA2A529B9C6E45C933D27B";"SCA status is finalised"
"30.05.2020 13:46:43,075";"A96C07D81DAA2A529B9C6E45C933D27B";"<-- HTTP/1.1 204 \\n	<-- x-request-id: bf0acb99-d3f5-44b8-9d57-12ae0209de33\\n	<-- date: Sat, 30 May 2020 11:46:42 GMT\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<--\\n	<-- Response body []: ******\\n	<--"
"30.05.2020 13:46:43,079";"A96C07D81DAA2A529B9C6E45C933D27B";"Delete consent status is 204"
